date,product_id,sales,price,promotion,region,year,month,week,day_of_week,quarter,is_weekend,sales_lag_7,sales_lag_30,rolling_mean_7,rolling_mean_30,product_id_enc,region_enc
2021-02-21,P001,371,34.28,0,North,2021,2,7,6,1,1,146.0,358.0,334.2857142857143,280.3333333333333,0,1
2021-02-22,P002,59,15.14,1,South,2021,2,8,0,1,0,460.0,153.0,277.0,277.2,1,2
2021-02-23,P001,54,57.81,1,North,2021,2,8,1,1,0,488.0,153.0,215.0,273.9,0,1
2021-02-24,P002,172,94.29,0,West,2021,2,8,2,1,0,338.0,484.0,191.28571428571428,263.5,1,3
2021-02-25,P003,379,13.54,1,North,2021,2,8,3,1,0,303.0,88.0,202.14285714285714,273.2,2,1
2021-02-26,P003,402,20.99,0,East,2021,2,8,4,1,0,245.0,484.0,224.57142857142858,270.46666666666664,2,0
2021-02-27,P001,167,50.7,0,West,2021,2,8,5,1,1,135.0,247.0,229.14285714285714,267.8,0,3
2021-02-28,P003,343,94.05,0,West,2021,2,8,6,1,1,371.0,183.0,225.14285714285714,273.1333333333333,2,3
2021-03-01,P003,446,38.45,1,South,2021,3,9,0,1,0,59.0,116.0,280.42857142857144,284.1333333333333,2,2
2021-03-02,P002,208,55.65,0,East,2021,3,9,1,1,0,54.0,440.0,302.42857142857144,276.4,1,0
2021-03-03,P001,352,13.74,0,West,2021,3,9,2,1,0,172.0,228.0,328.14285714285717,280.53333333333336,0,3
2021-03-04,P002,277,23.35,0,East,2021,3,9,3,1,0,379.0,91.0,313.57142857142856,286.73333333333335,1,0
2021-03-05,P002,414,98.8,0,North,2021,3,9,4,1,0,402.0,497.0,315.2857142857143,283.96666666666664,1,1
2021-03-06,P002,265,96.86,0,East,2021,3,9,5,1,1,167.0,64.0,329.2857142857143,290.6666666666667,1,0
2021-03-07,P002,485,10.44,0,West,2021,3,9,6,1,1,343.0,160.0,349.57142857142856,301.5,1,3
2021-03-08,P002,233,95.66,0,South,2021,3,10,0,1,0,446.0,206.0,319.14285714285717,302.4,1,2
2021-03-09,P002,64,67.52,0,West,2021,3,10,1,1,0,208.0,338.0,298.57142857142856,293.26666666666665,1,3
2021-03-10,P002,206,88.11,1,East,2021,3,10,2,1,0,352.0,280.0,277.7142857142857,290.8,1,0
2021-03-11,P001,185,50.93,0,East,2021,3,10,3,1,0,277.0,460.0,264.57142857142856,281.6333333333333,0,0
2021-03-12,P003,310,56.4,0,West,2021,3,10,4,1,0,414.0,469.0,249.71428571428572,276.3333333333333,2,3
2021-03-13,P002,206,54.0,1,East,2021,3,10,5,1,1,265.0,206.0,241.28571428571428,276.3333333333333,1,0
2021-03-14,P002,96,70.02,0,North,2021,3,10,6,1,1,485.0,87.0,185.71428571428572,276.6333333333333,1,1
2021-03-15,P002,373,22.57,1,West,2021,3,11,0,1,0,233.0,490.0,205.71428571428572,272.73333333333335,1,3
2021-03-16,P002,381,12.7,0,South,2021,3,11,1,1,0,64.0,146.0,251.0,280.56666666666666,1,2
2021-03-17,P002,222,37.71,1,West,2021,3,11,2,1,0,206.0,460.0,253.28571428571428,272.6333333333333,1,3
2021-03-18,P002,179,73.42,0,North,2021,3,11,3,1,0,185.0,488.0,252.42857142857142,262.3333333333333,1,1
2021-03-19,P003,460,28.17,0,North,2021,3,11,4,1,0,310.0,338.0,273.85714285714283,266.4,2,1
2021-03-20,P003,144,70.61,0,North,2021,3,11,5,1,1,206.0,303.0,265.0,261.1,2,1
2021-03-21,P002,164,97.29,1,North,2021,3,11,6,1,1,96.0,245.0,274.7142857142857,258.4,1,1
2021-03-22,P003,292,18.45,0,North,2021,3,12,0,1,0,373.0,135.0,263.14285714285717,263.6333333333333,2,1
2021-03-23,P001,469,70.53,0,South,2021,3,12,1,1,0,381.0,371.0,275.7142857142857,266.9,0,2
2021-03-24,P002,341,49.94,0,East,2021,3,12,2,1,0,222.0,59.0,292.7142857142857,276.3,1,0
2021-03-25,P001,331,88.13,0,North,2021,3,12,3,1,0,179.0,54.0,314.42857142857144,285.53333333333336,0,1
2021-03-26,P001,348,25.94,0,North,2021,3,12,4,1,0,460.0,172.0,298.42857142857144,291.4,0,1
2021-03-27,P002,332,72.34,0,West,2021,3,12,5,1,1,144.0,379.0,325.2857142857143,289.8333333333333,1,3
2021-03-28,P003,118,85.43,1,South,2021,3,12,6,1,1,164.0,402.0,318.7142857142857,280.3666666666667,2,2
2021-03-29,P001,197,95.02,0,South,2021,3,13,0,1,0,292.0,167.0,305.14285714285717,281.3666666666667,0,2
2021-03-30,P002,60,71.49,0,East,2021,3,13,1,1,0,469.0,343.0,246.71428571428572,271.93333333333334,1,0
2021-03-31,P001,303,54.75,0,South,2021,3,13,2,1,0,341.0,446.0,241.28571428571428,267.1666666666667,0,2
2021-04-01,P001,379,65.61,0,West,2021,4,13,3,2,0,331.0,208.0,248.14285714285714,272.8666666666667,0,3
2021-04-02,P001,409,88.2,0,West,2021,4,13,4,2,0,348.0,352.0,256.85714285714283,274.76666666666665,0,3
2021-04-03,P001,87,61.35,0,East,2021,4,13,5,2,1,332.0,277.0,221.85714285714286,268.43333333333334,0,0
2021-04-04,P003,183,12.73,0,West,2021,4,13,6,2,1,118.0,414.0,231.14285714285714,260.73333333333335,2,3
2021-04-05,P001,249,93.79,0,North,2021,4,14,0,2,0,197.0,265.0,238.57142857142858,260.2,0,1
2021-04-06,P001,72,72.06,0,North,2021,4,14,1,2,0,60.0,485.0,240.28571428571428,246.43333333333334,0,1
2021-04-07,P001,352,70.89,1,West,2021,4,14,2,2,0,303.0,233.0,247.28571428571428,250.4,0,3
2021-04-08,P003,395,29.41,1,East,2021,4,14,3,2,0,379.0,64.0,249.57142857142858,261.43333333333334,2,0
2021-04-09,P001,351,69.3,0,South,2021,4,14,4,2,0,409.0,206.0,241.28571428571428,266.26666666666665,0,2
2021-04-10,P001,412,45.45,1,East,2021,4,14,5,2,1,87.0,185.0,287.7142857142857,273.8333333333333,0,0
2021-04-11,P003,445,68.61,0,South,2021,4,14,6,2,1,183.0,310.0,325.14285714285717,278.3333333333333,2,2
2021-04-12,P003,267,19.59,0,West,2021,4,15,0,2,0,249.0,206.0,327.7142857142857,280.3666666666667,2,3
2021-04-13,P003,190,69.21,0,West,2021,4,15,1,2,0,72.0,96.0,344.57142857142856,283.5,2,3
2021-04-14,P001,153,99.95,0,North,2021,4,15,2,2,0,352.0,373.0,316.14285714285717,276.1666666666667,0,1
2021-04-15,P003,495,14.34,0,South,2021,4,15,3,2,0,395.0,381.0,330.42857142857144,279.96666666666664,2,2
2021-04-16,P003,259,97.95,0,East,2021,4,15,4,2,0,351.0,222.0,317.2857142857143,281.2,2,0
2021-04-17,P001,160,46.62,0,West,2021,4,15,5,2,1,412.0,179.0,281.2857142857143,280.56666666666666,0,3
2021-04-18,P003,153,88.37,0,East,2021,4,15,6,2,1,445.0,460.0,239.57142857142858,270.3333333333333,2,0
2021-04-19,P001,365,80.41,0,North,2021,4,16,0,2,0,267.0,144.0,253.57142857142858,277.7,0,1
2021-04-20,P002,220,61.03,0,South,2021,4,16,1,2,0,190.0,164.0,257.85714285714283,279.56666666666666,1,2
2021-04-21,P003,405,76.46,0,South,2021,4,16,2,2,0,153.0,292.0,293.85714285714283,283.3333333333333,2,2
2021-04-22,P002,373,89.07,0,West,2021,4,16,3,2,0,495.0,469.0,276.42857142857144,280.1333333333333,1,3
2021-04-23,P001,182,46.37,1,South,2021,4,16,4,2,0,259.0,341.0,265.42857142857144,274.8333333333333,0,2
2021-04-24,P003,425,39.43,1,West,2021,4,16,5,2,1,160.0,331.0,303.2857142857143,277.96666666666664,2,3
2021-04-25,P001,342,70.08,0,North,2021,4,16,6,2,1,153.0,348.0,330.2857142857143,277.76666666666665,0,1
2021-04-26,P002,377,82.71,1,South,2021,4,17,0,2,0,365.0,332.0,332.0,279.26666666666665,1,2
2021-04-27,P001,176,78.61,0,West,2021,4,17,1,2,0,220.0,118.0,325.7142857142857,281.2,0,3
2021-04-28,P003,155,81.8,0,East,2021,4,17,2,2,0,405.0,197.0,290.0,279.8,2,0
2021-04-29,P003,141,49.2,0,West,2021,4,17,3,2,0,373.0,60.0,256.85714285714283,282.5,2,3
2021-04-30,P002,336,83.61,0,South,2021,4,17,4,2,0,182.0,303.0,278.85714285714283,283.6,1,2
2021-05-01,P001,427,20.82,1,North,2021,5,17,5,2,1,425.0,379.0,279.14285714285717,285.2,0,1
2021-05-02,P003,442,59.0,0,South,2021,5,17,6,2,1,342.0,409.0,293.42857142857144,286.3,2,2
2021-05-03,P002,100,10.52,0,South,2021,5,18,0,2,0,377.0,87.0,253.85714285714286,286.73333333333335,1,2
2021-05-04,P003,78,39.21,0,West,2021,5,18,1,2,0,176.0,183.0,239.85714285714286,283.23333333333335,2,3
2021-05-05,P003,345,42.98,0,East,2021,5,18,2,2,0,155.0,249.0,267.0,286.43333333333334,2,0
2021-05-06,P001,346,45.66,1,South,2021,5,18,3,2,0,141.0,72.0,296.2857142857143,295.56666666666666,0,2
2021-05-07,P003,263,72.59,0,East,2021,5,18,4,2,0,336.0,352.0,285.85714285714283,292.6,2,0
2021-05-08,P001,316,44.97,0,West,2021,5,18,5,2,1,427.0,395.0,270.0,289.96666666666664,0,3
2021-05-09,P003,456,50.38,0,East,2021,5,18,6,2,1,442.0,351.0,272.0,293.46666666666664,2,0
2021-05-10,P002,306,31.38,0,West,2021,5,19,0,2,0,100.0,412.0,301.42857142857144,289.93333333333334,1,3
2021-05-11,P003,351,43.59,0,North,2021,5,19,1,2,0,78.0,445.0,340.42857142857144,286.8,2,1
2021-05-12,P001,150,30.45,0,East,2021,5,19,2,2,0,345.0,267.0,312.57142857142856,282.9,0,0
2021-05-13,P001,454,16.59,0,East,2021,5,19,3,2,0,346.0,190.0,328.0,291.7,0,0
2021-05-14,P002,395,64.31,0,North,2021,5,19,4,2,0,263.0,153.0,346.85714285714283,299.76666666666665,1,1
2021-05-15,P003,159,70.14,1,East,2021,5,19,5,2,1,316.0,495.0,324.42857142857144,288.56666666666666,2,0
2021-05-16,P003,469,65.75,1,North,2021,5,19,6,2,1,456.0,259.0,326.2857142857143,295.56666666666666,2,1
2021-05-17,P002,231,51.71,0,South,2021,5,20,0,2,0,306.0,160.0,315.57142857142856,297.93333333333334,1,2
2021-05-18,P003,362,44.18,0,West,2021,5,20,1,2,0,351.0,153.0,317.14285714285717,304.9,2,3
2021-05-19,P003,50,87.7,0,North,2021,5,20,2,2,0,150.0,365.0,302.85714285714283,294.4,2,1
2021-05-20,P001,368,56.72,0,East,2021,5,20,3,2,0,454.0,220.0,290.57142857142856,299.3333333333333,0,0
2021-05-21,P003,487,53.13,0,North,2021,5,20,4,2,0,395.0,405.0,303.7142857142857,302.06666666666666,2,1
2021-05-22,P003,104,12.31,0,East,2021,5,20,5,2,1,159.0,373.0,295.85714285714283,293.1,2,0
2021-05-23,P002,420,40.71,0,South,2021,5,20,6,2,1,469.0,182.0,288.85714285714283,301.03333333333336,1,2
2021-05-24,P002,473,44.22,0,North,2021,5,21,0,2,0,231.0,425.0,323.42857142857144,302.6333333333333,1,1
2021-05-25,P001,448,45.89,0,South,2021,5,21,1,2,0,362.0,342.0,335.7142857142857,306.1666666666667,0,2
2021-05-26,P003,198,62.22,0,West,2021,5,21,2,2,0,50.0,377.0,356.85714285714283,300.2,2,3
2021-05-27,P003,480,58.02,0,East,2021,5,21,3,2,0,368.0,176.0,372.85714285714283,310.3333333333333,2,0
2021-05-28,P003,358,64.71,0,East,2021,5,21,4,2,0,487.0,155.0,354.42857142857144,317.1,2,0
2021-05-29,P001,186,78.84,0,South,2021,5,21,5,2,1,104.0,141.0,366.14285714285717,318.6,0,2
2021-05-30,P001,251,83.17,0,West,2021,5,21,6,2,1,420.0,336.0,342.0,315.76666666666665,0,3
2021-05-31,P002,485,74.63,0,North,2021,5,22,0,2,0,473.0,427.0,343.7142857142857,317.7,1,1
2021-06-01,P001,362,96.0,0,North,2021,6,22,1,2,0,448.0,442.0,331.42857142857144,315.03333333333336,0,1
2021-06-02,P003,166,11.64,0,East,2021,6,22,2,2,0,198.0,100.0,326.85714285714283,317.23333333333335,2,0
2021-06-03,P003,203,27.62,0,South,2021,6,22,3,2,0,480.0,78.0,287.2857142857143,321.4,2,2
2021-06-04,P001,474,10.68,1,South,2021,6,22,4,2,0,358.0,345.0,303.85714285714283,325.7,0,2
2021-06-05,P003,340,68.27,0,North,2021,6,22,5,2,1,186.0,346.0,325.85714285714283,325.5,2,1
2021-06-06,P003,112,90.82,0,West,2021,6,22,6,2,1,251.0,263.0,306.0,320.46666666666664,2,3
2021-06-07,P001,293,31.91,0,West,2021,6,23,0,2,0,485.0,316.0,278.57142857142856,319.7,0,3
2021-06-08,P001,74,93.43,0,North,2021,6,23,1,2,0,362.0,456.0,237.42857142857142,306.96666666666664,0,1
2021-06-09,P003,139,15.42,0,North,2021,6,23,2,2,0,166.0,306.0,233.57142857142858,301.4,2,1
2021-06-10,P003,124,94.1,0,South,2021,6,23,3,2,0,203.0,351.0,222.28571428571428,293.8333333333333,2,2
2021-06-11,P003,343,41.65,0,West,2021,6,23,4,2,0,474.0,150.0,203.57142857142858,300.26666666666665,2,3
2021-06-12,P002,435,19.13,1,North,2021,6,23,5,2,1,340.0,454.0,217.14285714285714,299.6333333333333,1,1
2021-06-13,P002,440,53.73,0,North,2021,6,23,6,2,1,112.0,395.0,264.0,301.1333333333333,1,1
2021-06-14,P002,259,33.11,0,East,2021,6,24,0,2,0,293.0,159.0,259.14285714285717,304.46666666666664,1,0
2021-06-15,P001,467,35.64,1,North,2021,6,24,1,2,0,74.0,469.0,315.2857142857143,304.4,0,1
2021-06-16,P002,396,37.66,0,North,2021,6,24,2,2,0,139.0,231.0,352.0,309.9,1,1
2021-06-17,P001,66,82.27,1,West,2021,6,24,3,2,0,124.0,362.0,343.7142857142857,300.03333333333336,0,3
2021-06-18,P001,177,58.52,0,South,2021,6,24,4,2,0,343.0,50.0,320.0,304.26666666666665,0,2
2021-06-19,P002,476,38.02,1,West,2021,6,24,5,2,1,435.0,368.0,325.85714285714283,307.8666666666667,1,3
2021-06-20,P002,492,64.93,0,South,2021,6,24,6,2,1,440.0,487.0,333.2857142857143,308.03333333333336,1,2
2021-06-21,P002,413,74.45,0,East,2021,6,25,0,2,0,259.0,104.0,355.2857142857143,318.3333333333333,1,0
2021-06-22,P003,300,34.54,0,North,2021,6,25,1,2,0,467.0,420.0,331.42857142857144,314.3333333333333,2,1
2021-06-23,P002,228,47.22,0,East,2021,6,25,2,2,0,396.0,473.0,307.42857142857144,306.1666666666667,1,0
2021-06-24,P003,231,20.97,0,South,2021,6,25,3,2,0,66.0,448.0,331.0,298.93333333333334,2,2
2021-06-25,P001,201,26.3,0,West,2021,6,25,4,2,0,177.0,198.0,334.42857142857144,299.03333333333336,0,3
2021-06-26,P003,74,71.3,0,West,2021,6,25,5,2,1,476.0,480.0,277.0,285.5,2,3
2021-06-27,P002,229,26.33,0,East,2021,6,25,6,2,1,492.0,358.0,239.42857142857142,281.2,1,0
2021-06-28,P001,247,57.26,0,South,2021,6,26,0,2,0,413.0,186.0,215.71428571428572,283.23333333333335,0,2
2021-06-29,P001,393,73.81,0,East,2021,6,26,1,2,0,300.0,251.0,229.0,287.96666666666664,0,0
2021-06-30,P001,210,19.62,1,East,2021,6,26,2,2,0,228.0,485.0,226.42857142857142,278.8,0,0
2021-07-01,P003,226,61.06,0,North,2021,7,26,3,3,0,231.0,362.0,225.71428571428572,274.26666666666665,2,1
2021-07-02,P002,334,33.09,1,East,2021,7,26,4,3,0,201.0,166.0,244.71428571428572,279.8666666666667,1,0
2021-07-03,P001,112,96.66,0,North,2021,7,26,5,3,1,74.0,203.0,250.14285714285714,276.8333333333333,0,1
2021-07-04,P001,199,53.52,0,North,2021,7,26,6,3,1,229.0,474.0,245.85714285714286,267.6666666666667,0,1
2021-07-05,P001,203,82.54,0,West,2021,7,27,0,3,0,247.0,340.0,239.57142857142858,263.1,0,3
2021-07-06,P003,205,59.52,0,North,2021,7,27,1,3,0,393.0,112.0,212.71428571428572,266.2,2,1
2021-07-07,P003,419,13.91,0,North,2021,7,27,2,3,0,210.0,293.0,242.57142857142858,270.4,2,1
2021-07-08,P002,98,66.98,0,West,2021,7,27,3,3,0,226.0,74.0,224.28571428571428,271.2,1,3
2021-07-09,P003,386,95.63,0,East,2021,7,27,4,3,0,334.0,139.0,231.71428571428572,279.43333333333334,2,0
2021-07-10,P001,133,64.15,1,South,2021,7,27,5,3,1,112.0,124.0,234.71428571428572,279.73333333333335,0,2
2021-07-11,P002,410,83.73,0,South,2021,7,27,6,3,1,199.0,343.0,264.85714285714283,281.96666666666664,1,2
2021-07-12,P001,226,89.58,0,South,2021,7,28,0,3,0,203.0,435.0,268.14285714285717,275.0,0,2
2021-07-13,P001,197,30.53,0,East,2021,7,28,1,3,0,205.0,440.0,267.0,266.9,0,0
2021-07-14,P003,167,29.08,0,North,2021,7,28,2,3,0,419.0,259.0,231.0,263.8333333333333,2,1
2021-07-15,P002,391,64.99,0,South,2021,7,28,3,3,0,98.0,467.0,272.85714285714283,261.3,1,2
2021-07-16,P003,112,46.99,0,East,2021,7,28,4,3,0,386.0,396.0,233.71428571428572,251.83333333333334,2,0
2021-07-17,P003,238,85.59,0,North,2021,7,28,5,3,1,133.0,66.0,248.71428571428572,257.56666666666666,2,1
2021-07-18,P002,409,91.0,0,West,2021,7,28,6,3,1,410.0,177.0,248.57142857142858,265.3,1,3
2021-07-19,P001,98,41.81,0,South,2021,7,29,0,3,0,226.0,476.0,230.28571428571428,252.7,0,2
2021-07-20,P001,376,31.32,1,North,2021,7,29,1,3,0,197.0,492.0,255.85714285714286,248.83333333333334,0,1
2021-07-21,P002,306,80.25,1,South,2021,7,29,2,3,0,167.0,413.0,275.7142857142857,245.26666666666668,1,2
2021-07-22,P001,273,34.73,0,South,2021,7,29,3,3,0,391.0,300.0,258.85714285714283,244.36666666666667,0,2
2021-07-23,P002,190,84.04,0,South,2021,7,29,4,3,0,112.0,228.0,270.0,243.1,1,2
2021-07-24,P002,264,48.14,0,North,2021,7,29,5,3,1,238.0,231.0,273.7142857142857,244.2,1,1
2021-07-25,P003,484,70.08,1,East,2021,7,29,6,3,1,409.0,201.0,284.42857142857144,253.63333333333333,2,0
2021-07-26,P002,428,18.6,0,North,2021,7,30,0,3,0,98.0,74.0,331.57142857142856,265.43333333333334,1,1
2021-07-27,P003,489,66.15,0,South,2021,7,30,1,3,0,376.0,229.0,347.7142857142857,274.1,2,2
2021-07-28,P001,260,50.66,0,North,2021,7,30,2,3,0,306.0,247.0,341.14285714285717,274.53333333333336,0,1
2021-07-29,P001,367,62.79,0,West,2021,7,30,3,3,0,273.0,393.0,354.57142857142856,273.6666666666667,0,3
2021-07-30,P001,81,25.12,0,East,2021,7,30,4,3,0,190.0,210.0,339.0,269.3666666666667,0,0
2021-07-31,P001,207,76.32,0,North,2021,7,30,5,3,1,264.0,226.0,330.85714285714283,268.73333333333335,0,1
2021-08-01,P003,334,87.65,0,West,2021,8,30,6,3,1,484.0,334.0,309.42857142857144,268.73333333333335,2,3
2021-08-02,P001,354,29.51,0,East,2021,8,31,0,3,0,428.0,112.0,298.85714285714283,276.8,0,0
2021-08-03,P002,478,18.61,0,West,2021,8,31,1,3,0,489.0,199.0,297.2857142857143,286.1,1,3
2021-08-04,P002,335,12.13,0,East,2021,8,31,2,3,0,260.0,203.0,308.0,290.5,1,0
2021-08-05,P002,193,67.78,0,North,2021,8,31,3,3,0,367.0,205.0,283.14285714285717,290.1,1,1
2021-08-06,P003,473,64.64,0,West,2021,8,31,4,3,0,81.0,419.0,339.14285714285717,291.9,2,3
2021-08-07,P001,68,59.2,1,South,2021,8,31,5,3,1,207.0,98.0,319.2857142857143,290.9,0,2
2021-08-08,P001,67,30.88,0,West,2021,8,31,6,3,1,334.0,386.0,281.14285714285717,280.26666666666665,0,3
2021-08-09,P001,306,45.18,0,East,2021,8,32,0,3,0,354.0,133.0,274.2857142857143,286.03333333333336,0,0
2021-08-10,P003,127,63.5,0,North,2021,8,32,1,3,0,478.0,410.0,224.14285714285714,276.6,2,1
2021-08-11,P002,420,54.71,0,East,2021,8,32,2,3,0,335.0,226.0,236.28571428571428,283.06666666666666,1,0
2021-08-12,P002,224,98.9,0,West,2021,8,32,3,3,0,193.0,197.0,240.71428571428572,283.96666666666664,1,3
2021-08-13,P001,243,22.28,0,West,2021,8,32,4,3,0,473.0,167.0,207.85714285714286,286.5,0,3
2021-08-14,P002,162,72.56,1,South,2021,8,32,5,3,1,68.0,391.0,221.28571428571428,278.8666666666667,1,2
2021-08-15,P002,163,46.39,0,North,2021,8,32,6,3,1,67.0,112.0,235.0,280.56666666666666,1,1
2021-08-16,P003,271,48.54,0,North,2021,8,33,0,3,0,306.0,238.0,230.0,281.6666666666667,2,1
2021-08-17,P003,215,74.58,0,West,2021,8,33,1,3,0,127.0,409.0,242.57142857142858,275.2,2,3
2021-08-18,P003,484,72.32,0,North,2021,8,33,2,3,0,420.0,98.0,251.71428571428572,288.06666666666666,2,1
2021-08-19,P003,368,99.21,0,South,2021,8,33,3,3,0,224.0,376.0,272.2857142857143,287.8,2,2
2021-08-20,P001,181,21.56,0,East,2021,8,33,4,3,0,243.0,306.0,263.42857142857144,283.6333333333333,0,0
2021-08-21,P003,434,19.37,0,North,2021,8,33,5,3,1,162.0,273.0,302.2857142857143,289.0,2,1
2021-08-22,P002,313,75.19,0,West,2021,8,33,6,3,1,163.0,190.0,323.7142857142857,293.1,1,3
2021-08-23,P001,462,62.05,0,East,2021,8,34,0,3,0,271.0,264.0,351.0,299.7,0,0
2021-08-24,P002,104,34.67,0,East,2021,8,34,1,3,0,215.0,484.0,335.14285714285717,287.03333333333336,1,0
2021-08-25,P002,408,17.15,0,South,2021,8,34,2,3,0,484.0,428.0,324.2857142857143,286.3666666666667,1,2
2021-08-26,P002,180,17.71,0,West,2021,8,34,3,3,0,368.0,489.0,297.42857142857144,276.06666666666666,1,3
2021-08-27,P003,337,90.48,1,North,2021,8,34,4,3,0,181.0,260.0,319.7142857142857,278.6333333333333,2,1
2021-08-28,P003,315,27.27,0,West,2021,8,34,5,3,1,434.0,367.0,302.7142857142857,276.9,2,3
2021-08-29,P001,415,39.1,0,East,2021,8,34,6,3,1,313.0,81.0,317.2857142857143,288.03333333333336,0,0
2021-08-30,P001,211,30.4,0,West,2021,8,35,0,3,0,462.0,207.0,281.42857142857144,288.1666666666667,0,3
2021-08-31,P003,429,41.95,0,North,2021,8,35,1,3,0,104.0,334.0,327.85714285714283,291.3333333333333,2,1
2021-09-01,P002,136,16.25,0,North,2021,9,35,2,3,0,408.0,354.0,289.0,284.06666666666666,1,1
2021-09-02,P001,104,56.72,0,South,2021,9,35,3,3,0,180.0,478.0,278.14285714285717,271.6,0,2
2021-09-03,P003,337,16.09,1,North,2021,9,35,4,3,0,337.0,335.0,278.14285714285717,271.6666666666667,2,1
2021-09-04,P003,227,82.03,0,North,2021,9,35,5,3,1,315.0,193.0,265.57142857142856,272.8,2,1
2021-09-05,P003,440,31.03,0,West,2021,9,35,6,3,1,415.0,473.0,269.14285714285717,271.7,2,3
2021-09-06,P002,398,58.6,0,West,2021,9,36,0,3,0,211.0,68.0,295.85714285714283,282.7,1,3
2021-09-07,P003,57,89.21,1,East,2021,9,36,1,3,0,429.0,67.0,242.71428571428572,282.3666666666667,2,0
2021-09-08,P003,370,68.58,0,South,2021,9,36,2,3,0,136.0,306.0,276.14285714285717,284.5,2,2
2021-09-09,P003,362,57.97,0,West,2021,9,36,3,3,0,104.0,127.0,313.0,292.3333333333333,2,3
2021-09-10,P003,296,39.19,0,North,2021,9,36,4,3,0,337.0,420.0,307.14285714285717,288.2,2,1
2021-09-11,P001,372,39.97,0,East,2021,9,36,5,3,1,227.0,224.0,327.85714285714283,293.1333333333333,0,0
2021-09-12,P001,492,70.25,0,West,2021,9,36,6,3,1,440.0,243.0,335.2857142857143,301.43333333333334,0,3
2021-09-13,P003,304,99.47,0,South,2021,9,37,0,3,0,398.0,162.0,321.85714285714283,306.1666666666667,2,2
2021-09-14,P002,377,69.57,0,South,2021,9,37,1,3,0,57.0,163.0,367.57142857142856,313.3,1,2
2021-09-15,P001,103,60.2,0,East,2021,9,37,2,3,0,370.0,271.0,329.42857142857144,307.7,0,0
2021-09-16,P003,298,75.76,0,East,2021,9,37,3,3,0,362.0,215.0,320.2857142857143,310.46666666666664,2,0
2021-09-17,P001,288,51.87,0,East,2021,9,37,4,3,0,296.0,484.0,319.14285714285717,303.93333333333334,0,0
2021-09-18,P001,278,15.41,0,East,2021,9,37,5,3,1,372.0,368.0,305.7142857142857,300.93333333333334,0,0
2021-09-19,P002,116,60.61,1,East,2021,9,37,6,3,1,492.0,181.0,252.0,298.76666666666665,1,0
2021-09-20,P003,100,96.19,1,North,2021,9,38,0,3,0,304.0,434.0,222.85714285714286,287.6333333333333,2,1
2021-09-21,P003,146,25.78,0,North,2021,9,38,1,3,0,377.0,313.0,189.85714285714286,282.06666666666666,2,1
