Store,Date,Weekly_Sales,Holiday_Flag,Temperature,Fuel_Price,CPI,Unemployment,year,month,week,quarter,day_of_week,sales_lag_1,sales_lag_4,sales_lag_52,rolling_mean_4,rolling_mean_12
19,2010-02-12,1536549.95,1,23.22,2.94,131.5866129,8.35,2010,2,6,1,4,1187880.7,682447.1,1967220.53,1009606.7100000001,1175559.8675
20,2010-02-12,2109107.9,1,22.12,2.773,204.3857472,8.187,2010,2,6,1,4,1536549.95,472044.28,2623469.95,1418872.6150000002,1268418.7425
11,2010-02-12,1574684.08,1,48.01,2.548,214.5747916,7.368,2010,2,6,1,4,2109107.9,841951.91,652122.44,1602055.6575000002,1353585.9591666667
15,2010-02-19,660838.75,0,27.54,2.909,131.637,8.35,2010,2,7,1,4,1574684.08,1187880.7,477409.3,1470295.17,1227320.145
16,2010-02-19,469868.7,0,21.13,2.55,189.5340998,7.039,2010,2,7,1,4,660838.75,1536549.95,789036.02,1203624.8575000002,1173320.5925
17,2010-02-19,800714.0,0,25.06,2.654,126.5262857,6.548,2010,2,7,1,4,469868.7,2109107.9,1205307.5,876526.3825000001,1172603.3058333334
22,2010-02-19,988467.61,0,31.96,2.747,135.4657781,8.283,2010,2,7,1,4,800714.0,1574684.08,1507637.17,729972.2650000001,1085731.1516666666
19,2010-02-19,1515976.11,0,28.57,2.909,131.637,8.35,2010,2,7,1,4,988467.61,660838.75,2401395.47,943756.6050000001,1070044.2575
20,2010-02-19,2161549.76,0,25.43,2.745,204.4321004,8.187,2010,2,7,1,4,1515976.11,469868.7,798593.88,1366676.87,1193302.8125
21,2010-02-19,867283.25,0,39.75,2.514,210.9451605,8.324,2010,2,7,1,4,2161549.76,800714.0,1100046.37,1383319.1825,1226239.3933333333
14,2010-02-19,2204556.7,0,31.27,2.745,182.0347816,8.992,2010,2,7,1,4,867283.25,988467.61,1123566.12,1687341.455,1339789.7925000002
18,2010-02-19,1150663.42,0,30.91,2.747,131.637,9.202,2010,2,7,1,4,2204556.7,1515976.11,1543947.23,1596013.2825000002,1336688.3525
13,2010-02-19,1970274.64,0,35.7,2.654,126.5262857,8.316,2010,2,7,1,4,1150663.42,2161549.76,497374.57,1548194.5025000002,1372832.0766666667
7,2010-02-19,506760.54,0,27.28,2.55,189.5340998,9.014,2010,2,7,1,4,1970274.64,867283.25,1015684.09,1458063.8250000002,1239303.1300000001
11,2010-02-19,1503298.7,0,48.3,2.514,214.6198868,7.368,2010,2,7,1,4,506760.54,2204556.7,1558968.49,1282749.3250000002,1233354.3483333334
10,2010-02-19,2113432.58,0,58.22,2.915,126.5262857,9.765,2010,2,7,1,4,1503298.7,1150663.42,1745362.72,1523441.6150000002,1354403.8341666667
9,2010-02-19,511327.9,0,43.06,2.514,214.8506185,6.415,2010,2,7,1,4,2113432.58,1970274.64,294882.83,1158704.9300000002,1357858.7675
8,2010-02-19,963960.37,0,39.1,2.514,214.6664878,6.299,2010,2,7,1,4,511327.9,506760.54,529672.95,1273004.8875000002,1371462.6316666666
6,2010-02-19,1567138.07,0,43.58,2.514,212.8161546,7.259,2010,2,7,1,4,963960.37,1503298.7,994610.99,1288964.7300000002,1419685.17
5,2010-02-19,303447.57,0,41.14,2.514,211.8471283,6.566,2010,2,7,1,4,1567138.07,2113432.58,1266229.07,836468.4775000002,1318641.125
4,2010-02-19,2049860.26,0,36.45,2.54,126.5262857,8.623,2010,2,7,1,4,303447.57,511327.9,469563.7,1221101.5675000001,1309333.6666666667
3,2010-02-19,421642.19,0,47.07,2.514,214.6198868,7.368,2010,2,7,1,4,2049860.26,963960.37,529852.7,1085522.0225000002,1272196.9116666666
2,2010-02-19,2124451.54,0,39.69,2.514,210.9451605,8.324,2010,2,7,1,4,421642.19,1567138.07,342214.9,1224850.3900000001,1265521.4816666667
12,2010-02-19,1095421.65,0,54.83,2.915,126.5262857,13.975,2010,2,7,1,4,2124451.54,303447.57,955338.29,1422843.9100000001,1260918.0008333332
1,2010-02-19,1611968.17,0,39.93,2.514,211.2891429,8.106,2010,2,7,1,4,1095421.65,2049860.26,1075656.34,1313370.8875000002,1231059.1283333334
45,2010-02-19,841264.04,0,31.27,2.745,182.0347816,8.992,2010,2,7,1,4,1611968.17,421642.19,575709.96,1418276.35,1258934.42
24,2010-02-19,1385362.49,0,31.05,2.909,131.637,8.326,2010,2,7,1,4,841264.04,2124451.54,682918.99,1233504.0875000001,1249106.4025
44,2010-02-19,267956.3,0,35.7,2.654,126.5262857,8.119,2010,2,7,1,4,1385362.49,1095421.65,286857.13,1026637.7500000001,1095316.7125000001
43,2010-02-19,658997.55,0,48.77,2.514,203.2479796,9.521,2010,2,7,1,4,267956.3,1611968.17,583364.02,788395.0950000002,1107622.5166666666
42,2010-02-19,508794.87,0,58.22,2.915,126.5262857,9.765,2010,2,7,1,4,658997.55,841264.04,1168815.31,705277.8025000001,1069692.0583333333
41,2010-02-19,1052034.74,0,24.13,2.55,189.5340998,7.541,2010,2,7,1,4,508794.87,1385362.49,656988.64,621945.8650000002,1026766.7808333334
40,2010-02-19,916289.2,0,27.84,2.747,131.637,5.892,2010,2,7,1,4,1052034.74,267956.3,1414107.1,784029.0900000002,1077836.9166666667
23,2010-02-19,1319588.04,0,26.7,2.747,131.637,5.892,2010,2,7,1,4,916289.2,658997.55,1022571.25,949176.7125000001,1016980.8983333334
38,2010-02-19,327237.92,0,54.83,2.915,126.5262857,13.975,2010,2,7,1,4,1319588.04,508794.87,1380892.08,903787.4750000001,1009113.8758333335
37,2010-02-19,510382.5,0,45.66,2.514,210.0451024,8.554,2010,2,7,1,4,327237.92,1052034.74,1641957.44,768374.4150000002,874608.1225
36,2010-02-19,470281.03,0,45.66,2.472,210.0451024,8.554,2010,2,7,1,4,510382.5,916289.2,2137809.5,656872.3725000003,822513.0708333333
35,2010-02-19,1270658.64,0,32.44,2.745,135.4657781,9.262,2010,2,7,1,4,470281.03,1319588.04,420728.96,644640.0225000002,794070.61
39,2010-02-19,1230591.97,0,43.96,2.514,210.0451024,8.554,2010,2,7,1,4,1270658.64,327237.92,2188307.39,870478.5350000001,826514.6041666666
33,2010-02-19,296850.83,0,62.16,2.915,126.5262857,10.115,2010,2,7,1,4,1230591.97,510382.5,311825.7,817095.6175000002,735805.2991666667
32,2010-02-19,1082559.06,0,29.16,2.55,189.5340998,9.014,2010,2,7,1,4,296850.83,470281.03,1606283.86,970165.1250000001,803688.8624999999
31,2010-02-19,1473386.75,0,39.75,2.514,210.9451605,8.324,2010,2,7,1,4,1082559.06,1270658.64,524104.92,1020847.1525000002,871554.6291666668
30,2010-02-19,463513.26,0,39.75,2.514,210.9451605,8.324,2010,2,7,1,4,1473386.75,1230591.97,994801.4,829077.4750000001,867781.1616666666
29,2010-02-19,542399.07,0,31.96,2.747,131.637,10.064,2010,2,7,1,4,463513.26,296850.83,552677.48,890464.5350000003,825311.5225
28,2010-02-19,1491300.42,0,54.83,2.915,126.5262857,13.975,2010,2,7,1,4,542399.07,1082559.06,2176028.52,992649.8750000002,873229.1241666666
27,2010-02-19,1945070.33,0,32.44,2.909,135.4657781,8.237,2010,2,7,1,4,1491300.42,1473386.75,1117863.33,1110570.7700000003,925352.6483333333
26,2010-02-19,999348.55,0,22.62,2.747,131.637,8.488,2010,2,7,1,4,1945070.33,463513.26,809321.44,1244529.5925000003,981361.8675
25,2010-02-19,676260.67,0,24.16,2.745,204.4321004,8.187,2010,2,7,1,4,999348.55,542399.07,2030933.46,1277994.9925000002,995185.0483333333
34,2010-02-19,983963.07,0,38.36,2.54,126.5262857,9.521,2010,2,7,1,4,676260.67,1491300.42,1704218.84,1151160.6550000003,1037991.8850000001
16,2010-02-26,443242.17,0,18.12,2.586,189.6018023,7.039,2010,2,8,1,4,983963.07,1945070.33,682447.1,775703.6150000002,969040.5125000001
17,2010-02-26,749549.55,0,15.64,2.667,126.5522857,6.548,2010,2,8,1,4,443242.17,999348.55,472044.28,713253.8650000002,928953.6441666667
18,2010-02-26,1068157.45,0,35.42,2.753,131.686,9.202,2010,2,8,1,4,749549.55,676260.67,841951.91,811228.0600000002,993229.1958333334
23,2010-02-26,1198709.65,0,32.68,2.753,131.686,5.892,2010,2,8,1,4,1068157.45,983963.07,1187880.7,864914.7050000002,1002908.4116666666
20,2010-02-26,1898193.95,0,32.32,2.754,204.4630869,8.187,2010,2,8,1,4,1198709.65,443242.17,1536549.95,1228652.6500000001,1038309.0116666667
21,2010-02-26,749597.24,0,45.31,2.561,210.9759573,8.324,2010,2,8,1,4,1898193.95,749549.55,2109107.9,1228664.5725000002,1062149.3433333335
22,2010-02-26,899761.48,0,35.98,2.753,135.5195191,8.283,2010,2,8,1,4,749597.24,1068157.45,1574684.08,1186565.58,1091929.5441666667
19,2010-02-26,1373270.06,0,30.33,2.91,131.686,8.35,2010,2,8,1,4,899761.48,1198709.65,660838.75,1230205.6825,1082093.6808333334
15,2010-02-26,564883.2,0,29.87,2.91,131.686,8.35,2010,2,8,1,4,1373270.06,1898193.95,469868.7,896877.9950000001,967078.0866666666
5,2010-02-26,270281.63,0,46.7,2.561,211.8771468,6.566,2010,2,8,1,4,564883.2,749597.24,800714.0,777049.0925000003,906322.5099999999
13,2010-02-26,1817850.32,0,29.98,2.667,126.5522857,8.316,2010,2,8,1,4,270281.63,899761.48,988467.61,1006571.3025000002,1001454.9808333333
12,2010-02-26,1048617.17,0,50.23,2.825,126.5522857,13.975,2010,2,8,1,4,1817850.32,1373270.06,1515976.11,925408.0800000002,1006842.8224999999
11,2010-02-26,1336404.65,0,52.79,2.561,214.6475127,7.368,2010,2,8,1,4,1048617.17,564883.2,2161549.76,1118288.4425000004,1081273.0291666666
10,2010-02-26,2006774.96,0,52.77,2.825,126.5522857,9.765,2010,2,8,1,4,1336404.65,270281.63,867283.25,1552411.7750000004,1186041.8133333332
9,2010-02-26,473773.27,0,43.83,2.561,214.8780453,6.415,2010,2,8,1,4,2006774.96,1817850.32,2204556.7,1216392.5125000002,1136509.798333333
8,2010-02-26,847592.11,0,37.91,2.561,214.6940735,6.299,2010,2,8,1,4,473773.27,1048617.17,1150663.42,1166136.2475000003,1107250.0033333334
7,2010-02-26,496083.24,0,24.91,2.586,189.6018023,9.014,2010,2,8,1,4,847592.11,1336404.65,1970274.64,956055.8950000003,990407.4441666665
6,2010-02-26,1432953.21,0,47.1,2.561,212.845337,7.259,2010,2,8,1,4,496083.24,2006774.96,506760.54,812600.4575000003,1047353.775
24,2010-02-26,1158722.74,0,33.98,2.91,131.686,8.326,2010,2,8,1,4,1432953.21,473773.27,1503298.7,983837.8250000002,1068933.8800000001
14,2010-02-26,2095591.63,0,34.89,2.754,182.0774691,8.992,2010,2,8,1,4,1158722.74,847592.11,2113432.58,1295837.7050000003,1129127.3441666665
25,2010-02-26,628516.57,0,29.16,2.754,204.4630869,8.187,2010,2,8,1,4,2095591.63,496083.24,511327.9,1328946.0375,1134430.125
36,2010-02-26,447519.44,0,50.87,2.52,210.0771885,8.554,2010,2,8,1,4,628516.57,1432953.21,963960.37,1082587.5950000002,1149199.9425
27,2010-02-26,1390934.27,0,36.0,2.91,135.5195191,8.237,2010,2,8,1,4,447519.44,1158722.74,1567138.07,1140640.4775,1113623.605
2,2010-02-26,1865097.27,0,46.1,2.561,210.9759573,8.324,2010,2,8,1,4,1390934.27,2095591.63,303447.57,1083016.8875000002,1181663.6133333333
4,2010-02-26,1925728.84,0,41.36,2.59,126.5522857,8.623,2010,2,8,1,4,1865097.27,628516.57,2049860.26,1407319.9550000003,1230773.9625000001
45,2010-02-26,741891.65,0,34.89,2.754,182.0774691,8.992,2010,2,8,1,4,1925728.84,447519.44,421642.19,1480913.0075000003,1125367.02
44,2010-02-26,273079.07,0,29.98,2.667,126.5522857,8.119,2010,2,8,1,4,741891.65,1390934.27,2124451.54,1201449.2075000003,1108642.5033333334
43,2010-02-26,618702.79,0,48.77,2.561,203.2798724,9.521,2010,2,8,1,4,273079.07,1865097.27,1095421.65,889850.5875000003,1089568.3933333333
42,2010-02-26,491510.58,0,52.77,2.825,126.5522857,9.765,2010,2,8,1,4,618702.79,1925728.84,1611968.17,531296.0225000002,1089187.3383333334
41,2010-02-26,991941.73,0,21.84,2.586,189.6018023,7.541,2010,2,8,1,4,491510.58,741891.65,841264.04,593808.5425000002,1052436.3816666666
40,2010-02-26,863917.41,0,33.32,2.753,131.686,5.892,2010,2,8,1,4,991941.73,273079.07,1385362.49,741518.1275000002,1027869.2708333334
39,2010-02-26,1168582.02,0,49.79,2.561,210.0771885,8.554,2010,2,8,1,4,863917.41,618702.79,267956.3,878987.9350000002,950618.4700000001
38,2010-02-26,334222.73,0,50.23,2.825,126.5522857,13.975,2010,2,8,1,4,1168582.02,491510.58,658997.55,839665.9725000003,926093.9833333334
37,2010-02-26,513615.82,0,50.87,2.561,210.0771885,8.554,2010,2,8,1,4,334222.73,991941.73,508794.87,720084.4950000002,931602.0150000001
35,2010-02-26,1020651.74,0,36.0,2.754,135.5195191,9.262,2010,2,8,1,4,513615.82,863917.41,1052034.74,759268.0775000002,900745.1375000001
34,2010-02-26,905756.13,0,37.28,2.59,126.5522857,9.521,2010,2,8,1,4,1020651.74,1168582.02,916289.2,693561.6050000002,820800.0425
33,2010-02-26,284052.77,0,56.5,2.825,126.5522857,10.115,2010,2,8,1,4,905756.13,334222.73,1319588.04,681019.1150000002,683993.7033333334
32,2010-02-26,1053247.1,0,26.64,2.586,189.6018023,9.014,2010,2,8,1,4,284052.77,513615.82,327237.92,815926.9350000003,709939.9908333333
31,2010-02-26,1344354.41,0,45.31,2.561,210.9759573,8.324,2010,2,8,1,4,1053247.1,1020651.74,510382.5,896852.6025000003,799212.9358333334
30,2010-02-26,472330.71,0,45.31,2.561,210.9759573,8.324,2010,2,8,1,4,1344354.41,905756.13,470281.03,788496.2475000003,787015.2625000001
29,2010-02-26,488417.61,0,35.98,2.753,131.686,10.064,2010,2,8,1,4,472330.71,284052.77,1270658.64,839587.4575000003,786757.515
28,2010-02-26,1542173.33,0,50.23,2.825,126.5522857,13.975,2010,2,8,1,4,488417.61,1053247.1,1230591.97,961819.0150000002,832610.1483333334
26,2010-02-26,855385.01,0,27.32,2.753,131.686,8.488,2010,2,8,1,4,1542173.33,1344354.41,296850.83,839576.6650000003,831899.1150000001
3,2010-02-26,407204.86,0,52.05,2.561,214.6475127,7.368,2010,2,8,1,4,855385.01,472330.71,1082559.06,823295.2025000002,768451.0183333334
1,2010-02-26,1409727.59,0,46.63,2.561,211.3196429,8.106,2010,2,8,1,4,407204.86,488417.61,1473386.75,1053622.6975000002,858076.4233333333
45,2010-03-05,777951.22,0,37.13,2.777,182.1201566,8.992,2010,3,9,1,4,1409727.59,1542173.33,463513.26,862567.1700000002,880104.3733333334
25,2010-03-05,665750.06,0,29.45,2.777,204.4940734,8.187,2010,3,9,1,4,777951.22,855385.01,542399.07,815158.4325000003,850529.2333333333
26,2010-03-05,1005669.58,0,28.6,2.766,131.735,8.488,2010,3,9,1,4,665750.06,407204.86,1491300.42,964774.6125000002,858855.3541666666
27,2010-03-05,1313729.72,0,38.07,2.919,135.5732602,8.237,2010,3,9,1,4,1005669.58,1409727.59,1945070.33,940775.1450000003,944661.7666666666
28,2010-03-05,1608435.45,0,53.77,2.987,126.5782857,13.975,2010,3,9,1,4,1313729.72,777951.22,999348.55,1148396.2025000004,990927.4624999999
29,2010-03-05,535087.91,0,36.82,2.766,131.735,10.064,2010,3,9,1,4,1608435.45,665750.06,676260.67,1115730.6650000003,923488.5874999999
30,2010-03-05,472591.07,0,48.61,2.625,211.0067542,8.324,2010,3,9,1,4,535087.91,1005669.58,983963.07,982461.0375000003,923510.2841666667
31,2010-03-05,1384870.51,0,48.61,2.625,211.0067542,8.324,2010,3,9,1,4,472591.07,1313729.72,443242.17,1000246.2350000002,998214.6925
32,2010-03-05,1066566.74,0,37.72,2.62,189.6695049,9.014,2010,3,9,1,4,1384870.51,1608435.45,749549.55,864779.0575000003,958580.81
33,2010-03-05,291484.89,0,59.17,2.877,126.5782857,10.115,2010,3,9,1,4,1066566.74,535087.91,1068157.45,803878.3025000002,911589.1333333333
34,2010-03-05,918295.79,0,42.65,2.654,126.5782857,9.521,2010,3,9,1,4,291484.89,472591.07,1198709.65,915304.4825000002,954180.0441666666
35,2010-03-05,1162610.27,0,38.07,2.777,135.5732602,9.262,2010,3,9,1,4,918295.79,1384870.51,1898193.95,859739.4225000002,933586.9341666667
36,2010-03-05,480203.43,0,51.33,2.574,210.1092746,8.554,2010,3,9,1,4,1162610.27,1066566.74,749597.24,713148.5950000003,908774.6183333333
37,2010-03-05,519255.68,0,51.33,2.625,210.1092746,8.554,2010,3,9,1,4,480203.43,291484.89,899761.48,770091.2925000002,896566.7533333334
38,2010-03-05,372239.89,0,53.77,2.987,126.5782857,13.975,2010,3,9,1,4,519255.68,918295.79,1373270.06,633577.3175000002,843780.9458333334
39,2010-03-05,1266254.21,0,50.93,2.625,210.1092746,8.554,2010,3,9,1,4,372239.89,1162610.27,564883.2,659488.3025000002,839824.6533333333
40,2010-03-05,990152.28,0,34.78,2.766,131.735,5.892,2010,3,9,1,4,1266254.21,480203.43,270281.63,786975.5150000001,788301.0558333333
41,2010-03-05,1063557.49,0,32.49,2.62,189.6695049,7.541,2010,3,9,1,4,990152.28,519255.68,1817850.32,923050.9675000003,832340.1875
42,2010-03-05,554972.42,0,55.92,2.877,126.5782857,9.765,2010,3,9,1,4,1063557.49,372239.89,1048617.17,968734.1000000002,839205.2999999999
43,2010-03-05,658600.05,0,52.89,2.625,203.3117653,9.521,2010,3,9,1,4,554972.42,1266254.21,1336404.65,816820.5600000003,778682.7616666667
24,2010-03-05,1412387.37,0,36.73,2.919,131.735,8.326,2010,3,9,1,4,658600.05,990152.28,2006774.96,922379.3325000003,807501.1475
23,2010-03-05,1311175.93,0,33.15,2.766,131.735,5.892,2010,3,9,1,4,1412387.37,1063557.49,473773.27,984283.9425000004,892475.4008333334
22,2010-03-05,1009201.24,0,36.82,2.766,135.5732602,8.283,2010,3,9,1,4,1311175.93,554972.42,847592.11,1097841.1475000004,900050.8550000001
21,2010-03-05,747444.32,0,48.61,2.625,211.0067542,8.324,2010,3,9,1,4,1009201.24,658600.05,496083.24,1120052.2150000003,865453.6925
1,2010-03-05,1554806.68,0,46.5,2.625,211.3501429,8.106,2010,3,9,1,4,747444.32,1412387.37,1432953.21,1155657.0425000002,955003.9633333333
2,2010-03-05,1991013.13,0,47.17,2.625,211.0067542,8.324,2010,3,9,1,4,1554806.68,1311175.93,1158722.74,1325616.3425000003,1077650.4175
3,2010-03-05,415202.04,0,53.04,2.625,214.6751386,7.368,2010,3,9,1,4,1991013.13,1009201.24,2095591.63,1177116.5425000002,1081230.5966666667
4,2010-03-05,1971057.44,0,43.49,2.654,126.5782857,8.623,2010,3,9,1,4,415202.04,747444.32,628516.57,1483019.8225000002,1139964.1991666667
5,2010-03-05,288855.71,0,48.89,2.625,211.9071653,6.566,2010,3,9,1,4,1971057.44,1554806.68,447519.44,1166532.0800000003,1081522.8183333334
6,2010-03-05,1601348.82,0,49.63,2.625,212.8745193,7.259,2010,3,9,1,4,288855.71,1991013.13,1390934.27,1069116.0025000002,1126338.7625
7,2010-03-05,491419.55,0,35.86,2.62,189.6695049,9.014,2010,3,9,1,4,1601348.82,415202.04,1865097.27,1088170.3800000001,1121042.6900000002
8,2010-03-05,881503.95,0,45.64,2.625,214.7216592,6.299,2010,3,9,1,4,491419.55,1971057.44,1925728.84,815782.0075000003,1139618.015
9,2010-03-05,507297.88,0,48.43,2.625,214.9054721,6.415,2010,3,9,1,4,881503.95,288855.71,741891.65,870392.5500000003,1064193.8908333334
44,2010-03-05,284617.27,0,40.65,2.681,126.5782857,8.119,2010,3,9,1,4,507297.88,1601348.82,273079.07,541209.6625000002,978647.3358333333
10,2010-03-05,1987090.09,0,55.92,2.877,126.5782857,9.765,2010,3,9,1,4,284617.27,491419.55,618702.79,915127.2975000003,1060138.0733333332
12,2010-03-05,1077018.27,0,53.77,2.987,126.5782857,13.975,2010,3,9,1,4,1987090.09,881503.95,491510.58,964005.8775000002,1087602.5691666666
13,2010-03-05,1939980.43,0,40.65,2.681,126.5782857,8.316,2010,3,9,1,4,1077018.27,507297.88,991941.73,1322176.5150000001,1119700.3816666666
14,2010-03-05,2237544.75,0,37.13,2.777,182.1201566,8.992,2010,3,9,1,4,1939980.43,284617.27,863917.41,1810408.3850000002,1140244.6833333333
15,2010-03-05,605325.43,0,31.79,2.919,131.735,8.35,2010,3,9,1,4,2237544.75,1987090.09,1168582.02,1464967.2200000004,1156088.2991666668
16,2010-03-05,444181.85,0,27.92,2.62,189.6695049,7.039,2010,3,9,1,4,605325.43,1077018.27,334222.73,1306758.1150000002,1028848.6666666666
17,2010-03-05,783300.05,0,31.58,2.681,126.5782857,6.548,2010,3,9,1,4,444181.85,1939980.43,513615.82,1017588.0200000004,1070052.3616666666
18,2010-03-05,1179738.5,0,37.17,2.766,131.735,9.202,2010,3,9,1,4,783300.05,2237544.75,1020651.74,753136.4575000004,1034918.1683333333
19,2010-03-05,1495844.57,0,32.92,2.919,131.735,8.35,2010,3,9,1,4,1179738.5,605325.43,905756.13,975766.2425000004,1118620.2533333332
20,2010-03-05,2119213.72,0,31.75,2.777,204.4940734,8.187,2010,3,9,1,4,1495844.57,444181.85,284052.77,1394524.2100000004,1221762.7341666666
11,2010-03-05,1426622.65,0,53.96,2.625,214.6751386,7.368,2010,3,9,1,4,2119213.72,783300.05,1053247.1,1555354.8600000003,1298373.1316666666
2,2010-03-12,1990483.78,0,57.56,2.667,211.037551,8.324,2010,3,10,1,4,1426622.65,1179738.5,1344354.41,1758041.1800000002,1440528.6741666666
45,2010-03-12,765687.42,0,45.8,2.818,182.1628441,8.992,2010,3,10,1,4,1990483.78,1495844.57,472330.71,1575501.8925000003,1338745.1183333334
24,2010-03-12,1309340.16,0,42.31,2.938,131.784,8.326,2010,3,10,1,4,765687.42,2119213.72,488417.61,1373033.5025000002,1358105.2758333334
